ID,Data,Ano,Rodada,Equipe_mandante,Equipe_visitante,Gols_mandante,Gols_visitante,Mandante_UF,Visitante_UF,Vencedor,Arena,OBS
2003.01.0001,29/03/2003,2003,1,Guarani,Vasco,4,2,SP,RJ,Mandante,Brinco de Ouro,
2003.01.0002,29/03/2003,2003,1,Athletico-PR,Grêmio,2,0,PR,RS,Mandante,Arena da Baixada,
2003.01.0003,30/03/2003,2003,1,Flamengo,Coritiba,1,1,RJ,PR,Empate,Maracanã,
2003.01.0004,30/03/2003,2003,1,Goiás,Paysandu,2,2,GO,PA,Empate,Serra Dourada,
2003.01.0005,30/03/2003,2003,1,Internacional,Ponte Preta,1,1,RS,SP,Empate,Beira-Rio,
2003.01.0006,30/03/2003,2003,1,Criciúma,Fluminense,2,0,SC,RJ,Mandante,Heriberto Hulse,
2003.01.0007,30/03/2003,2003,1,Juventude,São Paulo,2,2,RS,SP,Empate,Alfredo Jaconi,
2003.01.0008,30/03/2003,2003,1,Fortaleza,Bahia,0,0,CE,BH,Empate,Castelão,
2003.01.0009,30/03/2003,2003,1,Cruzeiro,São Caetano,2,2,MG,SP,Empate,Mineirão,
2003.01.0010,30/03/2003,2003,1,Vitória,Figueirense,1,1,ES,SC,Empate,Barradão,
2003.01.0011,30/03/2003,2003,1,Santos,Paraná,2,2,SP,PR,Empate,Vila Belmiro,
2003.01.0012,30/03/2003,2003,1,Corinthians,Atlético-MG,0,3,SP,MG,Visitante,Pacaembu,
2003.02.0013,05/04/2003,2003,2,Fluminense,Fortaleza,1,1,RJ,CE,Empate,Maracanã,
2003.02.0014,05/04/2003,2003,2,Atlético-MG,Santos,0,0,MG,SP,Empate,Mineirão,
2003.02.0015,05/04/2003,2003,2,Coritiba,Internacional,0,1,PR,RS,Visitante,Couto Pereira,
2003.02.0016,05/04/2003,2003,2,Grêmio,Guarani,3,1,RS,SP,Mandante,Olímpico,
2003.02.0017,06/04/2003,2003,2,Bahia,Flamengo,1,2,BH,RJ,Visitante,Fonte Nova,
2003.02.0018,06/04/2003,2003,2,Figueirense,Corinthians,3,3,SC,SP,Empate,Orlando Scarpelli,
2003.02.0019,06/04/2003,2003,2,Paysandu,Vitória,1,2,PA,BA,Visitante,Mangueirão,
2003.02.0020,06/04/2003,2003,2,Ponte Preta,Juventude,1,0,SP,RS,Mandante,Moisés Lucarelli,
2003.02.0021,06/04/2003,2003,2,Paraná,Athletico-PR,3,0,PR,PR,Mandante,Pinheirão,
2003.02.0022,06/04/2003,2003,2,São Caetano,Criciúma,3,2,SP,SC,Mandante,Anacleto Campanella,
2003.02.0023,06/04/2003,2003,2,São Paulo,Cruzeiro,2,4,SP,MG,Visitante,Morumbi,
2003.02.0024,06/04/2003,2003,2,Vasco,Goiás,6,4,RJ,GO,Mandante,São Januário,
2003.04.0025,09/04/2003,2003,4,Paysandu,Santos,2,1,PA,SP,Mandante,Mangueirão,
2003.03.0026,12/04/2003,2003,3,Internacional,Bahia,2,0,RS,BH,Mandante,Beira-Rio,
2003.03.0027,12/04/2003,2003,3,Santos,Figueirense,2,0,SP,SC,Mandante,Vila Belmiro,
2003.03.0028,12/04/2003,2003,3,Athletico-PR,Atlético-MG,1,2,PR,MG,Visitante,Arena da Baixada,
2003.03.0029,12/04/2003,2003,3,Corinthians,Paysandu,6,1,SP,PA,Mandante,Pacaembu,
2003.03.0030,13/04/2003,2003,3,Vitória,Vasco,2,1,ES,RJ,Mandante,Barradão,
2003.03.0031,13/04/2003,2003,3,Criciúma,São Paulo,1,1,SC,SP,Empate,Heriberto Hulse,
2003.03.0032,13/04/2003,2003,3,Fortaleza,São Caetano,1,1,CE,SP,Empate,Presidente Vargas,
2003.03.0033,13/04/2003,2003,3,Juventude,Coritiba,2,1,RS,PR,Mandante,Alfredo Jaconi,
2003.03.0034,13/04/2003,2003,3,Guarani,Paraná,2,0,SP,PR,Mandante,Brinco de Ouro,
2003.03.0035,13/04/2003,2003,3,Goiás,Grêmio,1,1,GO,RS,Empate,Serra Dourada,
2003.03.0036,13/04/2003,2003,3,Cruzeiro,Ponte Preta,3,0,MG,SP,Mandante,Mineirão,
2003.03.0037,13/04/2003,2003,3,Flamengo,Fluminense,4,1,RJ,RJ,Mandante,Maracanã,
2003.04.0038,16/04/2003,2003,4,Bahia,Juventude,3,1,BH,RS,Mandante,Fonte Nova,
2003.04.0039,16/04/2003,2003,4,Grêmio,Vitória,2,1,RS,BA,Mandante,Olímpico,
2003.04.0040,16/04/2003,2003,4,Atlético-MG,Guarani,3,2,MG,SP,Mandante,Mineirão,
2003.04.0041,16/04/2003,2003,4,Figueirense,Athletico-PR,1,1,SC,PR,Empate,Orlando Scarpelli,
2003.04.0042,16/04/2003,2003,4,Ponte Preta,Criciúma,1,1,SP,SC,Empate,Moisés Lucarelli,
2003.04.0043,16/04/2003,2003,4,São Caetano,Flamengo,1,1,SP,RJ,Empate,Anacleto Campanella,
2003.04.0044,16/04/2003,2003,4,Vasco,Corinthians,2,2,RJ,SP,Empate,São Januário,
2003.04.0045,16/04/2003,2003,4,Coritiba,Cruzeiro,3,4,PR,MG,Visitante,Couto Pereira,
2003.04.0046,17/04/2003,2003,4,Fluminense,Internacional,3,1,RJ,RS,Mandante,Maracanã,
2003.04.0047,17/04/2003,2003,4,São Paulo,Fortaleza,3,1,SP,CE,Mandante,Morumbi,
2003.04.0048,17/04/2003,2003,4,Paraná,Goiás,3,1,PR,GO,Mandante,Pinheirão,
2003.05.0049,19/04/2003,2003,5,Bahia,Atlético-MG,2,4,BH,MG,Visitante,Fonte Nova,
2003.05.0050,19/04/2003,2003,5,São Caetano,Grêmio,1,1,SP,RS,Empate,Anacleto Campanella,
2003.05.0051,19/04/2003,2003,5,Flamengo,Santos,0,2,RJ,SP,Visitante,Maracanã,
2003.05.0052,20/04/2003,2003,5,São Paulo,Vasco,3,1,SP,RJ,Mandante,Morumbi,
2003.05.0053,20/04/2003,2003,5,Internacional,Corinthians,2,1,RS,SP,Mandante,Beira-Rio,
2003.05.0054,20/04/2003,2003,5,Criciúma,Guarani,1,0,SC,SP,Mandante,Heriberto Hulse,
2003.05.0055,20/04/2003,2003,5,Juventude,Vitória,1,1,RS,BA,Empate,Alfredo Jaconi,
2003.05.0056,20/04/2003,2003,5,Fortaleza,Athletico-PR,1,0,CE,PR,Mandante,Presidente Vargas,
2003.05.0057,20/04/2003,2003,5,Ponte Preta,Paysandu,4,4,SP,PA,Empate,Moisés Lucarelli,
2003.05.0058,20/04/2003,2003,5,Cruzeiro,Goiás,4,1,MG,GO,Mandante,Mineirão,
2003.05.0059,20/04/2003,2003,5,Fluminense,Paraná,0,0,RJ,PR,Empate,Maracanã,
2003.05.0060,21/04/2003,2003,5,Coritiba,Figueirense,1,0,PR,SC,Mandante,Couto Pereira,
2003.06.0061,26/04/2003,2003,6,Atlético-MG,Coritiba,1,2,MG,PR,Visitante,Mineirão,
2003.06.0062,26/04/2003,2003,6,Paraná,Bahia,3,1,PR,BH,Mandante,Pinheirão,
2003.06.0063,26/04/2003,2003,6,Vitória,Internacional,0,3,ES,RS,Visitante,Barradão,
2003.06.0064,26/04/2003,2003,6,Guarani,Cruzeiro,1,1,SP,MG,Empate,Brinco de Ouro,
2003.06.0065,27/04/2003,2003,6,Corinthians,Flamengo,1,1,SP,RJ,Empate,Pacaembu,
2003.06.0066,27/04/2003,2003,6,Goiás,Juventude,7,0,GO,RS,Mandante,Serra Dourada,
2003.06.0067,27/04/2003,2003,6,Figueirense,Ponte Preta,0,0,SC,SP,Empate,Orlando Scarpelli,
2003.06.0068,27/04/2003,2003,6,Santos,Fortaleza,4,0,SP,CE,Mandante,Vila Belmiro,
2003.06.0069,27/04/2003,2003,6,Grêmio,Fluminense,0,1,RS,RJ,Visitante,Olímpico,
2003.06.0070,27/04/2003,2003,6,Athletico-PR,Criciúma,5,2,PR,SC,Mandante,Arena da Baixada,
